week,date,day2,content,assignment,title
Week 00,NA,2024-09-25T13:40:00Z,/content/00-content,NA,Hello
Week 01,2024-09-30T13:40:00Z,2024-10-02T13:40:00Z,/content/01-content,/assignment/01-assignment,What are civil wars?
Week 02,2024-10-07T13:40:00Z,2024-10-09T13:40:00Z,/content/02-content,/assignment/02-assignment,"Why do people rebel? Grievances, ethnicity"
Week 03,2024-10-14T13:40:00Z,2024-10-16T13:40:00Z,/content/03-content,/assignment/03-assignment,Why do people rebel? Resources
Week 04,2024-10-21T13:40:00Z,2024-10-23T13:40:00Z,/content/04-content,NA,How are wars fought? Insurgency
Week 05,2024-10-28T13:40:00Z,2024-10-30T13:40:00Z,/content/05-content,/assignment/05-assignment,"Midterm exam <i class=""fa-solid fa-star""></i> + in-class film"
Week 06,2024-11-04T13:40:00Z,2024-11-06T13:40:00Z,/content/06-content,/assignment/06-assignment,How are wars fought? Counterinsurgency
Week 07,NA,2024-11-13T13:40:00Z,/content/07-content,/assignment/07-assignment,Case study: forced displacement in Colombia
Week 08,2024-11-18T13:40:00Z,2024-11-20T13:40:00Z,/content/08-content,/assignment/08-assignment,Case study: civilian resistance in Peru
Week 09,2024-11-25T13:40:00Z,2024-11-27T13:40:00Z,/content/09-content,/assignment/09-assignment,Case study: ethnic conflict in Ethiopia
Week 10,2024-12-02T13:40:00Z,2024-12-04T13:40:00Z,/content/10-content,NA,How do wars end? Negotiated settlements
,2024-12-13T15:30:00Z,NA,NA,NA,"Final exam at 3:30pm <i class=""fa-solid fa-star""></i>"
